feature_name,ge_noise
claim_creation_weekday,500
RevCode_Radiology_Diagnostic,419
RevCode_Other_Imaging_Services,345
payer_name,316
claim_has_referring_provider_id,281
payer_resp_seq_num,276
RevCode_Laboratory,271
subscriber_pat_gender,268
subscriber_city,263
ccsr_category_1_code_ExternalCauseOfInjury_HI_1,261
HCPCSCode_Surgery,260
admission_source_code,259
admission_type_code,258
subscriber_gender,258
RevCode_Emergency_Room,257
claim_has_payer_claim_control_number,250
other_hcpcscodes,244
RevCode_Pharmacy_-_Extension_of_025X,243
other_ndccodes,242
claim_freq_type_code,241
RevCode_Operating_Room_Services,238
HCPCSCode_Pathology_and_Laboratory_Procedures,232
RevCode_Physical_Therapy,226
ccsr_category_1_code_PrincipalDiagnosis_1,225
other_revcodes,207
RevCode_Pharmacy,198
RevCode_Medical/Surgical_Supplies_and_Devices,195
HCPCSCode_Medicine_Services_and_Procedures,191
claim_creation_quarter,188
claim_has_operating_physician_id,184
claim_creation_month,182
ccsr_category_1_code_OtherDiagnosisInformation_HI_1,182
claim_creation_dayofmonth,175
ccsr_category_1_code_OtherDiagnosisInformation_HI_3,173
ccsr_category_1_code_OtherDiagnosisInformation_HI_2,167
Description_OccurrenceInformation_1,138
Description_OccurrenceInformation_2,134
claim_has_admission_dthr,99
ccsr_category_1_code_Patient’SReasonForVisit_1,72
claim_creation_hour,59
noise,0
