feature_name,ge_noise
claim_freq_type_code,500
claim_creation_weekday,500
HCPCSCode_Evaluation_and_Management_Services,316
admission_type_code,283
claim_creation_hour,274
other_hcpcscodes,266
subscriber_state,262
HCPCSCode_Surgery,258
HCPCSCode_Pathology_and_Laboratory_Procedures,255
other_ndccodes,247
ccsr_category_1_code_OtherDiagnosisInformation_HI_2,239
other_revcodes,238
RevCode_Physical_Therapy,230
ccsr_category_1_code_OtherDiagnosisInformation_HI_4,221
subscriber_city,216
payer_name,210
ccsr_category_1_code_OtherDiagnosisInformation_HI_1,203
RevCode_Emergency_Room,192
subscriber_gender,192
subscriber_pat_gender,183
ccsr_category_1_code_OtherDiagnosisInformation_HI_3,182
HCPCSCode_Medicine_Services_and_Procedures,170
RevCode_Radiology_Diagnostic,119
ccsr_category_1_code_PrincipalDiagnosis_1,110
ccsr_category_1_code_Patient’SReasonForVisit_1,109
RevCode_Pharmacy,71
facility_name,62
facility_city,58
facility_state,51
admission_source_code,5
noise,0
