feature_name,ge_noise
payer_state,496
payer_city,493
payer_name,475
claim_creation_month,472
claim_creation_weekday,462
claim_filing_ind_code,462
claim_creation_quarter,386
facility_code_value,372
claim_creation_dayofmonth,355
claim_creation_hour,340
facility_name,337
subscriber_gender,334
subscriber_pat_state,315
ccsr_category_1_code_HealthCareDiagnosisCode_3,298
subscriber_pat_city,292
HCPCSCode_Pathology_and_Laboratory_Procedures,284
HCPCSCode_Evaluation_and_Management_Services,280
HCPCSCode_Medicine_Services_and_Procedures,279
ccsr_category_1_code_HealthCareDiagnosisCode_1,270
subscriber_state,259
other_hcpcscodes,245
NDCCode_Vaccine_Viral_-Influenza_A_and_B,241
subscriber_city,237
ccsr_category_1_code_HealthCareDiagnosisCode_4,234
claim_has_subscriber_group_or_policy_number,233
patient_gender,231
ccsr_category_1_code_HealthCareDiagnosisCode_2,220
ind_reltn_code,219
subscriber_pat_gender,203
subscriber_pat_reltn,201
ind_reltn_code2,175
noise,0
