feature_name,ge_noise
claim_creation_weekday,500
ccsr_category_1_code_HealthCareDiagnosisCode_1,467
claim_creation_dayofmonth,424
claim_creation_hour,375
HCPCSCode_Medicine_Services_and_Procedures,357
subscriber_pat_gender,289
payer_resp_seq_num,272
payer_name,237
claim_creation_quarter,232
claim_creation_month,230
other_hcpcscodes,175
ccsr_category_1_code_HealthCareDiagnosisCode_2,171
HCPCSCode_Evaluation_and_Management_Services,160
subscriber_pat_city,150
subscriber_city,144
ccsr_category_1_code_HealthCareDiagnosisCode_4,139
facility_code_value,124
ccsr_category_1_code_HealthCareDiagnosisCode_3,90
facility_name,81
noise,0
