feature_name,ge_noise
claim_creation_weekday,500
claim_creation_quarter,500
claim_creation_dayofmonth,499
ccsr_category_1_code_HealthCareDiagnosisCode_1,428
claim_creation_month,424
payer_name,398
facility_code_value,379
claim_creation_hour,376
HCPCSCode_Evaluation_and_Management_Services,364
facility_name,327
subscriber_pat_state,295
ccsr_category_1_code_HealthCareDiagnosisCode_3,292
other_hcpcscodes,291
subscriber_state,287
ccsr_category_1_code_HealthCareDiagnosisCode_5,267
ccsr_category_1_code_HealthCareDiagnosisCode_2,251
subscriber_gender,242
ccsr_category_1_code_HealthCareDiagnosisCode_4,240
subscriber_pat_gender,224
ccsr_category_1_code_HealthCareDiagnosisCode_6,220
subscriber_city,160
subscriber_pat_city,155
noise,0
